Blog	new	it	in	they	we	is	on	for	was	can	that	and	s	t	of	or	with	as	at	to	what	more	are	this	i	you	about
Schneier on Security	2	0	1	1	0	0	1	1	0	0	3	3	2	0	1	0	0	0	0	1	0	1	1	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	7	62	50	13	6	24	37	38	12	19	55	113	35	16	108	30	32	18	17	132	11	16	15	21	114	57	18
Search Engine Roundtable	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
We Make Money Not Art	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	2	1	0	1	0	0	0	0	0	0	0
Copyblogger	0	0	0	0	0	2	1	1	0	0	0	2	0	1	1	0	0	0	0	1	0	1	0	0	0	6	1
John Battelle's Search Blog	2	4	1	0	0	5	3	0	0	0	0	2	9	3	1	0	0	0	0	1	3	0	0	0	0	0	0
Engadget RSS Feed	0	2	0	0	0	1	0	1	1	0	1	2	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0
Wonkette	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SimpleBits	0	2	1	0	1	3	1	3	2	1	6	12	5	0	5	1	2	5	3	2	1	0	1	0	3	3	4
